Bus_ID,Departure,Arrival,Duration,Duration_Minutes,Seats,Single_Seats,Price,Onwards,Operator,Bus_Type,Rating,Rating_Count,Live_Tracking,Source,Destination
26409654,23:15,06:10,6h 55m,415,42,10,1250,Onwards,Jayavin Travels,A/C Seater / Sleeper (2+1),4.4,575,Yes,Bangalore,Chennai
44319378,21:55,04:30,6h 35m,395,36,12,585,Onwards,HYBUS,Bharat Benz A/C Sleeper (2+1),4.5,245,Yes,Bangalore,Chennai
36258160,21:35,05:00,7h 25m,445,24,8,1600,Onwards,PADMAVATHI TRAVELS,A/C Sleeper (2+1),4.3,797,Yes,Bangalore,Chennai
37971794,22:45,05:45,7h,420,25,6,1400,Onwards,Krish Travels,Bharat Benz A/C Seater /Sleeper (2+1),4.2,1377,Yes,Bangalore,Chennai
44319377,21:40,04:55,7h 15m,435,36,12,585,Onwards,HYBUS,Bharat Benz A/C Sleeper (2+1),4.5,166,Yes,Bangalore,Chennai
rdBoost_44324353,11:05,17:45,6h 40m,400,24,8,899,Unknown,VEE VEE BUS,A/C Sleeper (2+1),4.4,36,No,Bangalore,Chennai
32913496,23:15,05:15,6h,360,25,6,1400,Onwards,Krish Travels,Bharat Benz A/C Seater /Sleeper (2+1),4.2,932,Yes,Bangalore,Chennai
44324353,11:05,17:45,6h 40m,400,24,8,899,Unknown,VEE VEE BUS,A/C Sleeper (2+1),4.4,36,No,Bangalore,Chennai
18582298,23:00,06:00,7h,420,36,12,1620,Onwards,Dream Line Travels Pvt Ltd,VE A/C Sleeper (2+1),4.1,888,Yes,Bangalore,Chennai
9698430,22:30,04:35,6h 5m,365,35,5,1220,Onwards,YBM Travels(BLM),A/C Sleeper (2+1),4.1,600,Yes,Bangalore,Chennai
37991967,06:45,13:00,6h 15m,375,28,8,1500,Onwards,Bharathi Travels,A/C Sleeper (2+1),4.2,307,Yes,Bangalore,Chennai
11012833,07:00,13:50,6h 50m,410,36,6,1000,Onwards,YBM Travels(BLM),A/C Sleeper (2+1),4.1,459,Yes,Bangalore,Chennai
31387724,22:30,05:30,7h,420,43,10,1529,Onwards,Mettur Super Services(mss),A/C Seater / Sleeper (2+1),4.3,680,No,Bangalore,Chennai
37422314,13:00,20:15,7h 15m,435,43,10,1350,Onwards,Mettur Super Services(mss),A/C Seater / Sleeper (2+1),4.1,174,Yes,Bangalore,Chennai
31914445,23:00,05:45,6h 45m,405,23,7,618,Onwards,Alaguthangam Travels,A/C Sleeper (2+1),4.1,201,No,Bangalore,Chennai
38062910,00:45,07:00,6h 15m,375,30,10,2499,Onwards,Bharathi Travels,A/C Sleeper (2+1),2.8,356,Yes,Bangalore,Chennai
43174295,12:55,20:10,7h 15m,435,23,7,570,Onwards,Alaguthangam Travels,A/C Sleeper (2+1),3.7,80,No,Bangalore,Chennai
43865802,22:45,05:35,6h 50m,410,25,9,1980,Onwards,ADITHIYA AIRBUS,A/C Sleeper (2+1),4.5,26,No,Bangalore,Chennai
45516872,05:25,11:25,6h,360,32,0,1250,Onwards,PARVEEN TRAVELS,Volvo Multi-Axle A/C Semi Sleeper (2+2),4.6,19,No,Bangalore,Chennai
46790277,04:00,10:30,6h 30m,390,48,12,5700,Unknown,Sri Sugam Bus Tours and Travels,Bharat Benz A/C Seater /Sleeper (2+1),3.6,0,No,Bangalore,Chennai
40366771,20:45,08:35,11h 50m,710,8,3,1670,Onwards,zingbus plus,A/C Seater/Sleeper (2+1),4.4,597,No,Bangalore,Hyderabad
30932941,22:15,07:50,9h 35m,575,8,0,2199,Onwards,Pramukh Travels,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),4.4,342,No,Bangalore,Hyderabad
45236104,22:55,08:10,9h 15m,555,11,0,2000,Onwards,GRT Travels,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),4.3,64,Yes,Bangalore,Hyderabad
31477947,22:05,06:30,8h 25m,505,8,0,2800,Onwards,Delta Transports Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),3.9,331,Yes,Bangalore,Hyderabad
31256768,20:50,07:47,10h 57m,657,1,1,2810,Onwards,KSM Roadways,Bharat Benz A/C Sleeper (2+1),4.8,1717,Yes,Bangalore,Hyderabad
rdBoost_42858691,20:45,07:00,10h 15m,615,1,0,1709,Unknown,HASH BUS,Bharat Benz A/C Sleeper (2+1),4.7,432,Yes,Bangalore,Hyderabad
rdBoost_40605625,20:45,08:55,12h 10m,730,1,0,1887,Unknown,zingbus plus,VE A/C Sleeper (2+1),4.1,191,Yes,Bangalore,Hyderabad
rdBoost_21882093,20:45,08:50,12h 5m,725,1,1,1969,Unknown,zingbus plus,A/C Sleeper (2+1),4.3,476,Yes,Bangalore,Hyderabad
45662508,00:45,09:10,8h 25m,505,3,1,2600,Onwards,Delta Transports Pvt Ltd,Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),4.1,31,Yes,Bangalore,Hyderabad
31206897,20:50,06:51,10h 1m,601,1,0,1499,Unknown,TVK TRAVELS,Bharat Benz A/C Sleeper (2+1),4.7,869,Yes,Bangalore,Hyderabad
45832415,20:45,06:42,9h 57m,597,1,0,1661,Onwards,RAJESH TRANSPORTS,Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.6,815,Yes,Bangalore,Hyderabad
42858691,20:45,07:00,10h 15m,615,1,0,1709,Unknown,HASH BUS,Bharat Benz A/C Sleeper (2+1),4.7,432,Yes,Bangalore,Hyderabad
13107216,21:00,07:50,10h 50m,650,1,0,1879,Onwards,V Kaveri Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.5,910,Yes,Bangalore,Hyderabad
38983895,20:45,06:50,10h 5m,605,4,3,1550,Onwards,RMS Transports,A/C Sleeper (2+1),4.5,830,Yes,Bangalore,Hyderabad
26705908,20:45,07:30,10h 45m,645,2,1,1630,Onwards,KSM Roadways,Bharat Benz A/C Sleeper (2+1),4.4,585,Yes,Bangalore,Hyderabad
5017513,20:45,07:30,10h 45m,645,1,1,1600,Onwards,Jabbar  Travels,VE Non A/C Sleeper (2+1),4.4,562,Yes,Bangalore,Hyderabad
35886549,20:55,07:05,10h 10m,610,1,0,1275,Onwards,FlixBus,A/C Sleeper (2+1),4.4,556,Yes,Bangalore,Hyderabad
32296701,21:20,08:30,11h 10m,670,1,0,2099,Onwards,Intercity travels,Bharat Benz A/C Sleeper (2+1),4.4,480,Yes,Bangalore,Hyderabad
42080287,20:45,07:30,10h 45m,645,1,1,5555,Unknown,Rajdhani Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),4.4,365,Yes,Bangalore,Hyderabad
40605625,20:45,08:55,12h 10m,730,1,0,1887,Unknown,zingbus plus,VE A/C Sleeper (2+1),4.1,191,Yes,Bangalore,Hyderabad
27093543,20:45,06:22,9h 37m,577,5,2,2180,Onwards,KSM Roadways,A/C Volvo B11R Multi-Axle Sleeper (2+1),4.3,545,Yes,Bangalore,Hyderabad
41799433,20:45,07:30,10h 45m,645,1,1,1849,Onwards,SL Travels,A/C Sleeper (2+1),4.3,512,Yes,Bangalore,Hyderabad
21882093,20:45,08:50,12h 5m,725,1,1,1969,Unknown,zingbus plus,A/C Sleeper (2+1),4.3,476,Yes,Bangalore,Hyderabad
17219841,20:50,07:15,10h 25m,625,2,0,1479,Onwards,IntrCity SmartBus,A/C Seater / Sleeper (2+1),4.2,605,Yes,Bangalore,Hyderabad
32532539,20:55,07:23,10h 28m,628,1,1,3200,Onwards,KSM Roadways,Bharat Benz A/C Sleeper (1+1),4.4,118,Yes,Bangalore,Hyderabad
