Bus_ID,Departure,Arrival,Duration,Duration_Minutes,Seats,Single_Seats,Price,Onwards,Rating,Rating_Count,Price_Category,Departure_Hour,Is_Peak_Hour,Source_Chennai,Source_Hyderabad,Destination_Chennai,Destination_Hyderabad,Operator_Alaguthangam Travels,Operator_Anmol Tours & Travels,Operator_Balaji Cabs,Operator_Bharathi Travels,Operator_BigBus,Operator_Bmcc Travels,Operator_Delta Transports Pvt Ltd,Operator_Dhanunjaya Travels,Operator_Dream Line Travels Pvt Ltd,Operator_Express Line,Operator_FlixBus,Operator_GEE PEE TRAVELS,Operator_GRT Travels,Operator_HASH BUS,Operator_HYBUS,Operator_IRA TRANSPORTS,Operator_Intercity travels,Operator_IntrCity SmartBus,Operator_Jabbar  Travels,Operator_Jayavin Travels,Operator_KSM Roadways,Operator_Kallada Travels (Suresh Kallada),Operator_Krish Travels,Operator_LVP Travels,Operator_Lakshmi Travels,Operator_MRM Travels,Operator_Mettur Super Services(mss),Operator_N S Holidays,Operator_Naveen Travels (Durg),Operator_Om Sai Baba Tour And Travels,Operator_PADMAVATHI TRAVELS,Operator_PARVEEN TRAVELS,Operator_Pramukh Travels,Operator_RAJESH TRANSPORTS,Operator_RMS Transports,Operator_Rajdhani Travels,Operator_Ram Dalal Holidays Pvt Ltd,Operator_Ramana Tours And Travels,Operator_Royal Rich India,Operator_Royal Rich India R No. 208,Operator_SL Travels,Operator_Saleem Travels,Operator_Shyamoli Paribahan Pvt Ltd,Operator_Sri Sugam Bus Tours and Travels,Operator_Streamline tours and travels,Operator_Swamy Ayyappa Travels,Operator_TVK TRAVELS,Operator_The Abha Travels,Operator_Tranzindia Travels,Operator_V Kaveri Travels,Operator_VEE VEE BUS,Operator_VRL Travels,Operator_VSR Tours and Travels,Operator_YAS Tours & Travels,Operator_YBM Travels(BLM),Operator_zingbus plus,Bus_Type_A/C Seater / Sleeper (2+1),Bus_Type_A/C Seater / Sleeper (2+2),Bus_Type_A/C Seater/Sleeper (2+1),Bus_Type_A/C Sleeper (2+1),Bus_Type_A/C Volvo B11R Multi-Axle Sleeper (2+1),Bus_Type_Bharat Benz A/C Seater /Sleeper (2+1),Bus_Type_Bharat Benz A/C Sleeper (1+1),Bus_Type_Bharat Benz A/C Sleeper (2+1),Bus_Type_NON A/C Sleeper (2+1),Bus_Type_NON AC Seater / Sleeper 2+1,Bus_Type_Non A/C Seater / Sleeper (2+1),Bus_Type_Scania AC Multi Axle Sleeper (2+1),Bus_Type_Scania Multi-Axle AC Semi Sleeper (2+2),Bus_Type_VE A/C Sleeper (2+1),Bus_Type_VE Non A/C Sleeper (2+1),Bus_Type_Volvo 9600 Multi-Axle A/C Sleeper (2+1),Bus_Type_Volvo 9600 SLX Multi-Axle AC Sleeper (2+1),Bus_Type_Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Bus_Type_Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),Bus_Type_Volvo Multi-Axle A/C Semi Sleeper (2+2),Bus_Type_Volvo Multi-Axle A/C Sleeper (2+1),Bus_Type_Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),Bus_Type_Volvo Multi-Axle I-Shift A/C Sleeper (2+1),Live_Tracking_Yes
26409654,23:15,06:10,6h 55m,-1.4144111976611984,1.1547037437285461,10,-0.7483014474471772,Onwards,0.6130939160251195,0.5917049929061884,Very High,23,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44319378,21:55,04:30,6h 35m,-1.5971742140190026,0.7451309777696995,12,-1.1857959147539066,Onwards,0.7512340641928041,-0.3591280563718526,Medium,21,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36258160,21:35,05:00,7h 25m,-1.140266673124492,-0.07401455414799374,8,-0.518041201496267,Onwards,0.47495376785743365,1.2313563169659614,Very High,21,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37971794,22:45,05:45,7h,-1.3687204435717473,-0.005752426488185964,6,-0.6496184848967871,Onwards,0.336813619689749,2.9025174338788817,Very High,22,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44319377,21:40,04:55,7h 15m,-1.2316481813033942,0.7451309777696995,12,-1.1857959147539066,Onwards,0.7512340641928041,-0.5867517257444745,Medium,21,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
rdBoost_44324353,11:05,17:45,6h 40m,-1.5514834599295515,-0.07401455414799374,8,-0.97921957981509,Unknown,0.6130939160251195,-0.9613223209146119,High,11,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32913496,23:15,05:15,6h,-1.91700949264516,-0.005752426488185964,6,-0.6496184848967871,Onwards,0.336813619689749,1.6203334734887964,Very High,23,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44324353,11:05,17:45,6h 40m,-1.5514834599295515,-0.07401455414799374,8,-0.97921957981509,Unknown,0.6130939160251195,-0.9613223209146119,High,11,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18582298,23:00,06:00,7h,-1.3687204435717473,0.7451309777696995,12,-0.504883473156215,Onwards,0.19867347152206313,1.4935557335850576,Very High,23,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9698430,22:30,04:35,6h 5m,-1.871318738555709,0.6768688501098917,5,-0.7680380399572552,Onwards,0.19867347152206313,0.6637377996696764,Very High,22,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
